herv_ID,logFC,p_value,minor_log 10(p_value)
herv_1002,1.76370793,8.09306E-43,42.0918871
herv_1004,2.336809908,9.90443E-49,48.0041704
herv_1007,3.192130361,1.02196E-45,44.99056418
herv_1008,2.134026489,5.32479E-45,44.27369712
herv_1011,1.821977583,3.21609E-28,27.49267241
herv_1012,1.420043033,2.66374E-33,32.57450794
herv_1013,1.857549351,1.43869E-12,11.84203205
herv_1014,1.046163746,1.35812E-27,26.86706164
herv_1017,4.955081412,7.73696E-22,21.11142992
herv_1023,1.200386117,8.69391E-31,30.06078496
herv_1024,-0.885278022,0.003604489,2.443156261
herv_1025,2.086530642,1.39218E-65,64.85630568
herv_1027,2.856864162,2.8184E-101,100.5500036
herv_1031,0.903619763,4.17828E-07,6.379002879
herv_1032,1.909024955,0.000399442,3.398546155
herv_1033,1.686248071,4.68768E-35,34.32904188
herv_1035,3.482465161,5.54121E-17,16.25639503
herv_1036,0.589499089,0.008680828,2.061438868
herv_1041,1.983742492,6.93972E-67,66.15865812
herv_1043,2.790593879,1.66599E-98,97.77832737
herv_1045,1.756466292,3.04216E-51,50.5168175
herv_1046,2.362053068,2.95112E-27,26.5300129
herv_1047,1.216563625,4.84237E-25,24.31494165
herv_1048,0.926218628,0.00016374,3.785845759
herv_1049,2.437121383,3.48151E-49,48.4582325
herv_1051,2.595996728,1.76653E-18,17.75287943
herv_1054,3.567257931,2.52749E-72,71.59731047
herv_1056,2.133660169,1.57934E-41,40.80152566
herv_1058,1.490327656,1.02978E-39,38.9872575
herv_1060,3.051665266,7.04348E-85,84.15221276
herv_1061,2.335627714,1.15304E-44,43.93815545
herv_1063,2.522617163,6.00467E-86,85.22151072
herv_1064,1.539651438,4.03213E-22,21.39446555
herv_1066,1.174164609,1.22671E-30,29.91125937
herv_1067,1.672074936,6.60171E-30,29.18034356
herv_1068,1.875237207,1.34401E-34,33.87159894
herv_1069,0.991360156,3.70995E-15,14.43063242
herv_1073,1.279464396,5.5009E-36,35.25956603
herv_1074,2.785087855,8.41252E-94,93.07507367
herv_1075,3.682582383,1.7835E-121,120.7487342
herv_1077,2.19911361,4.65841E-76,75.33176195
herv_1079,1.7220164,5.6255E-50,49.24983919
herv_1080,2.151698051,4.43927E-74,73.35268809
herv_1081,1.615871198,1.29785E-15,14.8867752
herv_1083,3.484598591,1.01239E-39,38.9946505
herv_1084,1.465397664,1.25762E-32,31.9004519
herv_1086,2.686176115,9.2549E-99,98.03362742
herv_1090,-5,4.4134E-159,158.3552223
herv_1091,1.316900824,2.93542E-38,37.5323296
herv_1094,2.857020995,1.97046E-41,40.70543253
herv_1096,3.270436846,1.02232E-42,41.99041432
herv_1097,3.891627076,4.62192E-98,97.33517801
herv_1098,3.467456287,4.20963E-87,86.37575654
herv_1100,3.155577149,4.0217E-102,101.39559
herv_1102,2.248020258,1.71821E-64,63.76492453
herv_1104,2.066394242,6.63951E-58,57.17786421
herv_1108,1.694240096,5.17074E-44,43.28644758
herv_1109,4.397871519,1.6194E-192,191.7906573
herv_1110,2.07227955,1.03264E-52,51.98604915
herv_1111,2.873570095,1.266E-113,112.8975712
herv_1112,1.818746729,1.92005E-57,56.71668832
herv_1113,3.571013277,2.39983E-92,91.61981887
herv_1114,1.209453453,7.74556E-35,34.11094693
herv_1115,2.929944682,2.9333E-101,100.5326425
herv_1116,3.532271081,1.06325E-69,68.97336303
herv_1117,4.285770335,8.05014E-94,93.09419661
herv_1118,1.509106486,3.97024E-22,21.40118273
herv_1119,2.500966493,1.24249E-65,64.9057083
herv_1120,2.063779271,4.62376E-64,63.3350051
herv_1122,4.174165077,1.35827E-45,44.86701487
herv_1124,2.378860307,1.02929E-58,57.98746134
herv_1127,1.625706793,1.13931E-50,49.94335716
herv_1128,2.632350503,4.82581E-91,90.3164296
herv_1129,1.995723287,1.19572E-14,13.92237223
herv_1130,0.982620426,2.0581E-08,7.686533336
herv_1132,0.358044422,0.463054705,0.334367699
herv_1136,2.371708534,1.77409E-67,66.75102408
herv_1138,3.984842828,4.8894E-146,145.3107432
herv_1142,2.76666565,1.15013E-44,43.93925297
herv_1143,3.716714712,5.9194E-111,110.2277248
herv_1148,1.944380966,1.67995E-21,20.77470277
herv_1149,1.436493597,2.19029E-06,5.659498535
herv_1151,1.379407377,8.95489E-06,5.047939985
herv_1152,3.78526708,1.05564E-49,48.97648588
herv_1153,0.214993083,0.592221564,0.227515783
herv_1154,4.155049054,9.90139E-64,63.00430376
herv_1155,2.831678061,5.95559E-28,27.22507525
herv_1156,1.621905807,2.51586E-33,32.59931413
herv_1157,3.502259353,5.04471E-96,95.29716395
herv_1158,1.951115221,1.18006E-41,40.92809624
herv_1159,2.523676702,3.44604E-11,10.46268023
herv_1160,3.01916133,4.25951E-66,65.37064017
herv_1161,1.271049175,1.45066E-22,21.83843539
herv_1162,3.884360025,3.62191E-56,55.44106292
herv_1163,1.784948766,1.04477E-55,54.98098044
herv_1164,2.451903565,2.38251E-65,64.62296465
herv_1166,2.35337719,1.14136E-51,50.94257687
herv_1168,1.019480193,5.57462E-09,8.253784767
herv_1170,2.454894376,1.65775E-53,52.78047967
herv_1171,1.922080316,1.30932E-60,59.8829541
herv_1174,1.862090564,2.42783E-06,5.614782572
herv_1175,3.266543027,2.23543E-12,11.65063804
herv_1176,2.610692656,5.97249E-79,78.22384422
herv_1178,3.089649942,8.0444E-81,80.09450637
herv_1179,1.811420451,1.16146E-43,42.93499756
herv_1180,5.985970605,2.98513E-67,66.52503665
herv_1182,2.519313756,6.84781E-82,81.16444805
herv_1184,1.530488707,3.07668E-29,28.51191759
herv_1186,3.011727919,9.4714E-110,109.0235881
herv_1188,2.183213276,1.55665E-39,38.8078084
herv_1189,0.967614759,7.98087E-08,7.097949775
herv_1194,2.425566221,3.61496E-54,53.44189617
herv_1196,4.219355414,2.33849E-70,69.63106442
herv_1197,2.917130372,1.01474E-28,27.99364646
herv_1198,1.961673167,6.28226E-54,53.20188378
herv_1199,3.684681159,3.4146E-39,38.46666047
herv_1200,1.976909321,1.26058E-37,36.89943066
herv_1201,1.785057404,4.3102E-53,52.36550236
herv_1202,3.464896736,3.29099E-97,96.48267298
herv_1203,4.936196564,9.00804E-40,39.04536952
herv_1205,2.752281584,2.30785E-79,78.63679327
herv_1206,1.788533693,2.26863E-12,11.64423542
herv_1208,1.590589829,3.50025E-28,27.45590082
herv_1209,4.809503818,1.6611E-136,135.7796014
herv_1210,-5,4.34922E-22,21.36158901
herv_1211,2.813633015,9.4093E-69,68.02644271
herv_1212,2.228820057,3.72823E-08,7.428497121
herv_1216,2.119117304,4.25889E-14,13.37070313
herv_1217,1.346884275,7.67709E-05,4.114803243
herv_1219,2.658122751,1.05065E-53,52.97854166
herv_1220,1.996672073,2.19519E-14,13.65852769
herv_1223,1.310356092,0.000239331,3.621000729
herv_1224,2.629093792,9.85045E-32,31.00654383
herv_1225,0.180610857,0.754910677,0.122104432
herv_1226,0.977916322,0.026773068,1.572301853
herv_1227,1.267351179,5.28732E-26,25.27676453
herv_1229,4.586298751,4.0899E-114,113.3882837
herv_1230,4.841296319,1.0225E-128,127.9903569
herv_1233,2.554903449,8.31947E-53,52.0799042
herv_1234,3.400674836,4.81328E-46,45.31755851
herv_1236,1.235474787,4.81722E-32,31.31720373
herv_1237,2.122292439,2.45619E-24,23.60973817
herv_1239,3.576892939,2.21159E-86,85.65529447
herv_1242,2.127628688,0.000579741,3.236766327
herv_1244,2.252058188,1.25056E-39,38.9028955
herv_1245,1.881335532,3.84746E-50,49.41482632
herv_1246,3.096589782,3.70605E-37,36.43108855
herv_1247,2.374960184,9.81413E-53,52.00814836
herv_1248,1.681642434,2.7046E-53,52.56789621
herv_1249,2.777192602,8.92135E-44,43.04956921
herv_1250,2.401339181,2.49712E-78,77.60256097
herv_1251,0.170078912,0.357613497,0.446586098
herv_1256,4.710577098,1.608E-159,158.7937006
herv_1257,2.87408827,8.74964E-88,87.05800994
herv_1259,1.540095328,1.24722E-43,42.90405617
herv_1260,1.880204003,1.93662E-57,56.7129565
herv_1262,0.587830327,0.012106006,1.91699913
herv_1264,1.499689946,2.14973E-48,47.66761646
herv_1265,0.535463647,6.38591E-06,5.194777289
herv_1266,3.20653154,5.36039E-48,47.27080369
herv_1267,1.769585532,5.28178E-35,34.27721948
herv_1268,0.592431907,0.000625386,3.203851977
herv_1269,0.250242393,0.109928225,0.958890783
herv_1271,1.8031876,2.01427E-37,36.69588244
herv_1273,2.972961078,9.73019E-64,63.01187882
herv_1274,3.868784042,3.17244E-83,82.49860668
herv_1275,4.058615235,2.14278E-85,84.66902168
herv_1276,1.930734848,1.05284E-29,28.97763747
herv_1278,1.668049473,1.2784E-54,53.89333381
herv_1280,1.358378846,1.08635E-34,33.96402935
