hervID,avg_tumor,avg_normal,logFC,pvalue,threshold
herv_2381,0.0547155046604655,2.54863666666667e-11,30.9995768419413,4.45127945857624e-20,None
herv_1692,0.0176756976462124,9.20033333333333e-12,30.8393619753153,3.75142318269688e-10,None
herv_2620,0.0741529976918353,2.23726333333333e-08,21.6603385088423,2.07410577914304e-15,None
herv_1138,0.0328359457884341,1.01735333333333e-07,18.3000956614055,9.18236901924586e-26,None
herv_1096,0.0363449632051006,1.19989666666667e-06,14.8865576560939,4.30680424437559e-29,None
herv_830,0.020090199564622,9.6296e-07,14.3486564976951,3.2882529411943e-10,None
herv_695,0.0236533131872358,6.66633333333333e-06,11.7928612020789,1.54792036391452e-14,None
herv_1719,0.020849179661481,7.5697e-06,11.4274668746916,1.95082639307833e-30,None
herv_5382,0.019099558105464,1.81610912568667e-05,10.0384726512219,0.000178401406017185,None
herv_1007,0.0350375069826091,0,10,2.54932559493045e-24,None
herv_1032,0.000461174943671448,0,10,0.0336727588733931,None
herv_1090,0.0100988365643093,0,10,2.41747132471132e-12,None
herv_1097,0.0354181702177349,0,10,7.61797519343662e-17,None
herv_1098,0.0359122038065762,0,10,1.82365479456937e-17,None
herv_1116,0.0216741642252558,0,10,7.30075957238556e-17,None
herv_1122,0.00984628945304471,0,10,3.77716741487274e-12,None
herv_1129,0.00731699180938017,0,10,2.22740829613352e-16,None
herv_1152,0.0339718900927323,0,10,6.52829044470701e-13,None
herv_1154,0.0131631567197378,0,10,1.17502898937134e-11,None
herv_1159,0.00467535818055395,0,10,6.41321387344492e-11,None
herv_1162,0.0300548180083432,0,10,4.93116447083141e-12,None
herv_1174,0.0136412140776451,0,10,1.12947683456102e-08,None
herv_1180,0.0162532509044656,0,10,1.85588395459869e-08,None
herv_1196,0.0064789321429951,0,10,2.99565131183286e-12,None
herv_1197,0.00285839145654515,0,10,9.93379282984102e-08,None
herv_1203,0.0109222615883259,0,10,6.22891320131263e-05,None
herv_1209,0.059351683908376,0,10,3.28210418978414e-10,None
herv_1225,0.00645118240520304,0,10,1.68778166486501e-11,None
herv_1273,0.0553341846775881,0,10,5.39332456094332e-34,None
herv_1275,0.0365100332594015,0,10,1.83224635097361e-21,None
herv_1288,0.00394093510510205,0,10,3.38243130083719e-08,None
herv_1294,0.0189952819158493,0,10,7.26276434516857e-15,None
herv_1296,0.00593143424357692,0,10,2.97376426561644e-07,None
herv_1299,0.00520492995535988,0,10,2.46013911209685e-05,None
herv_1308,0.0349536011885013,0,10,1.39207126420016e-22,None
herv_1309,0.0338814302814794,0,10,1.26052780393395e-23,None
herv_1317,0.00226777180111536,0,10,1.05492638705693e-06,None
herv_1335,0.00389353916527595,0,10,3.78359288517026e-10,None
herv_1343,0.0579745827262293,0,10,1.51102780004388e-06,None
herv_1356,0.011270901294566,0,10,2.42350185296306e-23,None
herv_1359,0.00382695705229847,0,10,4.78218644096542e-11,None
herv_1365,0.026050978943536,0,10,0.00101038463252843,None
herv_1385,0.00611793800417767,0,10,1.42852034922584e-12,None
herv_1413,0.00208196313174277,0,10,1.19806214573998e-05,None
herv_1419,0.0915762510268054,0,10,1.70135224782314e-08,None
herv_1428,0.000131071719746527,0,10,0.3181739169727,None
herv_1445,0.0198967270300894,0,10,1.00119494758772e-20,None
herv_1448,0.0254791105503219,0,10,0.000840606881893401,None
herv_1455,0.114349712529746,0,10,8.92312874795566e-64,Up
herv_1493,0.0191494282266906,0,10,1.05373085294599e-12,None
herv_1501,0.0360571793608577,0,10,2.07667581012767e-23,None
herv_1556,0.0140899512726773,0,10,1.37317679506747e-19,None
herv_1584,0.0463260569109467,0,10,5.37539064099772e-07,None
herv_1611,0.00365752431052696,0,10,1.28936411841411e-08,None
herv_1619,0.00414810024704265,0,10,6.06635953592047e-09,None
herv_1627,0.00939564628243532,0,10,6.89606872181069e-16,None
herv_1663,0.0351745755219578,0,10,1.82134969699627e-14,None
herv_1665,0.109965114135785,0,10,3.10774694587535e-16,None
herv_1676,0.0519570575976442,0,10,2.0191534197134e-11,None
herv_1678,0.00197763688404582,0,10,1.59961702756747e-05,None
herv_1700,0.000631663381077482,0,10,0.0106027102083479,None
herv_1711,0.0447856466551734,0,10,8.51032196935459e-21,None
herv_1788,0.00547310153358401,0,10,0.0999855213352425,None
herv_1864,0.00207633881313189,0,10,1.75459872330198e-05,None
herv_1866,0.00134192218979836,0,10,0.00012104583944959,None
herv_1899,0.000358365849803313,0,10,0.0517379983349599,None
herv_1922,0.0181381413630421,0,10,1.92403664354074e-15,None
herv_1926,0.0255470898043249,0,10,1.77230026964594e-08,None
herv_1944,0.00715442457454353,0,10,2.33013409317316e-15,None
herv_1948,0.000440580803981467,0,10,0.023551644148773,None
herv_1953,0.00057360858559737,0,10,0.0112447392947281,None
herv_1959,0.153273129764501,0,10,4.89803441826978e-22,None
herv_1961,0.0142166449413226,0,10,2.62235677011747e-28,None
herv_1968,0.0545555177562781,0,10,2.17070677938194e-15,None
herv_2000,0.555777422273232,0,10,7.45915631691389e-12,None
herv_2054,0.053696463269617,0,10,4.71613956284435e-44,None
herv_2076,0.0223916002070609,0,10,6.82774583318885e-18,None
herv_2128,0.00106780675801483,0,10,0.00123027180043877,None
herv_2134,0.0172623519998508,0,10,1.26580109182308e-14,None
herv_2151,0.0017476261164053,0,10,3.77473870266424e-05,None
herv_2160,0.00314833500498396,0,10,1.07685326468285e-07,None
herv_2167,0.00853687077566598,0,10,1.39456532483193e-14,None
herv_2177,0.0127142300082945,0,10,4.7627740802993e-24,None
herv_2181,0.00620384572265705,0,10,1.9155546799416e-13,None
herv_2187,0.0150631950066425,0,10,1.26767763167454e-05,None
herv_2216,0.0195247129723505,0,10,4.88565679728478e-34,None
herv_2218,0.00981273991311135,0,10,1.36098463651903e-11,None
herv_2269,0.0136445730576771,0,10,1.20428552741491e-18,None
herv_2284,0.000555500723697717,0,10,0.0151588722233532,None
herv_2314,0.0148106105784725,0,10,8.77594755993295e-11,None
herv_2356,0.016542037145066,0,10,2.13385654486328e-16,None
herv_2363,0.00361518389469243,0,10,3.29826638485329e-08,None
herv_2366,0.0274124420339252,0,10,9.92474466083277e-13,None
herv_2388,0.0454681626834464,0,10,3.71349603197417e-23,None
herv_2390,0.00213747791197076,0,10,1.61564222883337e-05,None
herv_2394,0.0204511156428645,0,10,9.49616105193152e-19,None
herv_2405,0.0109354364831612,0,10,2.36473855511911e-12,None
herv_2413,0.021883263927533,0,10,2.64301830389517e-19,None
herv_2416,0.0191986335983979,0,10,1.91564307141577e-09,None
herv_2427,0.0256166351073299,0,10,3.16371507242346e-10,None
herv_2439,0.039201730043463,0,10,3.11303250650826e-14,None
herv_2440,0.0726849391424949,0,10,6.64777266678354e-08,None
herv_2444,0.0783443211226832,0,10,5.11455808532244e-06,None
herv_2454,0.022425425475922,0,10,2.60755845758663e-20,None
herv_2498,0.000253757824586195,0,10,0.0844023876552322,None
herv_2500,0.000987083800592421,0,10,0.00650584080108459,None
herv_2543,0.0543414171451004,0,10,3.06739581419809e-24,None
herv_2547,0.00399403991209686,0,10,2.17938471010067e-07,None
herv_2592,0.00723597429504756,0,10,1.10734504613436e-14,None
herv_2595,0.0427663110242166,0,10,1.65599155875523e-28,None
herv_2623,0.0255204660792436,0,10,3.02685929402448e-16,None
herv_2624,0.002154808205848,0,10,2.44763930552725e-06,None
herv_2628,0.0744324899752773,0,10,4.89912564734301e-08,None
herv_2640,0.0207820246972721,0,10,1.56163382999334e-30,None
herv_2664,0.00293346456742175,0,10,7.34579800311763e-08,None
herv_2691,0.00277489298455897,0,10,7.52812326090211e-07,None
herv_2715,0.0511452632372668,0,10,1.34698821318385e-12,None
herv_2726,9.48245719280943e-06,0,10,0.3181739169727,None
herv_2732,0.000988864719941298,0,10,0.000933092900795687,None
herv_2735,0.00088966142479856,0,10,0.00172960336247656,None
herv_2754,0.0306598108277416,0,10,2.7034421465269e-36,None
herv_2763,0.00680590914214706,0,10,7.19030525889415e-11,None
herv_2838,0.0161066153913062,0,10,4.8988369914087e-24,None
herv_2863,0.000449589732255436,0,10,0.0147439536427572,None
herv_2871,0.0639648609004416,0,10,1.06100694634162e-19,None
herv_2930,0.0292587464792283,0,10,1.35508284246124e-17,None
herv_2933,0.106670530123565,0,10,1.0659795976633e-16,None
herv_2937,0.042737366327268,0,10,7.82320104307382e-11,None
herv_2941,0.0505152992783672,0,10,2.70317200856274e-13,None
herv_2969,0.000238436143243366,0,10,0.318173916972701,None
herv_2989,0.0332258043633941,0,10,6.38741449550641e-17,None
herv_3043,0.00330456638031185,0,10,3.10506364095623e-08,None
herv_3046,0.00787726274212698,0,10,2.84153712905034e-08,None
herv_3069,0.012850940010452,0,10,2.62208599428704e-27,None
herv_3076,0.0302626006124603,0,10,1.45415624988665e-08,None
herv_3093,0.00426818859006124,0,10,3.14117317916184e-10,None
herv_3101,0.0641025570509081,0,10,1.82320842562281e-11,None
herv_3109,0.0363686924600207,0,10,1.61407011830294e-22,None
herv_3118,0.229081749658598,0,10,1.66896318719876e-23,None
herv_3142,0.00678147973371462,0,10,8.76323321840248e-11,None
herv_3151,0.0475030093318915,0,10,4.73427784447896e-11,None
herv_3162,0.0615367947757042,0,10,3.01346670666122e-13,None
herv_3173,0.0168758573952836,0,10,8.82740352755361e-05,None
herv_3178,0.0465591068742735,0,10,3.72216868006829e-22,None
herv_3185,0.00251241950345354,0,10,9.46047380610223e-07,None
herv_3209,0.0184604452339737,0,10,3.61488291733976e-26,None
herv_3240,0.00286782141477707,0,10,1.0665402902215e-07,None
herv_3244,0.00985750939480137,0,10,2.62213549336456e-19,None
herv_3261,0.017824711938744,0,10,1.05209354085106e-17,None
