,avg_tumor,avg_normal,logFC,pvalue,threshold
herv_1007,0.0350375069826091,0,10,2.54932559493045e-24,Up
herv_1273,0.0553341846775881,0,10,5.39332456094332e-34,Up
herv_1275,0.0365100332594015,0,10,1.83224635097361e-21,Up
herv_1308,0.0349536011885013,0,10,1.39207126420016e-22,Up
herv_1309,0.0338814302814794,0,10,1.26052780393395e-23,Up
herv_1356,0.011270901294566,0,10,2.42350185296306e-23,Up
herv_1455,0.114349712529746,0,10,8.92312874795566e-64,Up
herv_1501,0.0360571793608577,0,10,2.07667581012767e-23,Up
herv_1711,0.0447856466551734,0,10,8.51032196935459e-21,Up
herv_1959,0.153273129764501,0,10,4.89803441826978e-22,Up
herv_1961,0.0142166449413226,0,10,2.62235677011747e-28,Up
herv_2054,0.053696463269617,0,10,4.71613956284435e-44,Up
herv_2177,0.0127142300082945,0,10,4.7627740802993e-24,Up
herv_2216,0.0195247129723505,0,10,4.88565679728478e-34,Up
herv_2388,0.0454681626834464,0,10,3.71349603197417e-23,Up
herv_2543,0.0543414171451004,0,10,3.06739581419809e-24,Up
herv_2595,0.0427663110242166,0,10,1.65599155875523e-28,Up
herv_2640,0.0207820246972721,0,10,1.56163382999334e-30,Up
herv_2754,0.0306598108277416,0,10,2.7034421465269e-36,Up
herv_2838,0.0161066153913062,0,10,4.8988369914087e-24,Up
herv_3069,0.012850940010452,0,10,2.62208599428704e-27,Up
herv_3109,0.0363686924600207,0,10,1.61407011830294e-22,Up
herv_3118,0.229081749658598,0,10,1.66896318719876e-23,Up
herv_3178,0.0465591068742735,0,10,3.72216868006829e-22,Up
herv_3209,0.0184604452339737,0,10,3.61488291733976e-26,Up
herv_3406,0.0878599603007204,0,10,6.27315103179408e-49,Up
herv_3523,0.0404231651783982,0,10,6.4259142635199e-30,Up
herv_3529,0.0179064633513856,0,10,1.19238426168168e-24,Up
herv_3628,0.0290247847634632,0,10,2.1558754093047e-31,Up
herv_3637,0.021868989485017,0,10,1.2549266783589e-23,Up
herv_3651,0.0451101624511056,0,10,5.91805506518252e-26,Up
herv_3748,0.0145557109622133,0,10,3.22048908309195e-23,Up
herv_3786,0.0317004389071041,0,10,1.66960930326305e-25,Up
herv_3795,0.028653925538201,0,10,5.17902052470836e-40,Up
herv_3915,0.035021466605006,0,10,4.58031830576498e-24,Up
herv_3976,0.018226924666927,0,10,1.54354370493349e-22,Up
herv_3998,0.034289610909641,0,10,7.27965563906785e-36,Up
herv_4267,0.0983053349665217,0,10,6.19549825462641e-24,Up
herv_4316,0.0365507021032173,0,10,1.49884281713332e-37,Up
herv_4376,0.0175524868954733,0,10,1.72236040755732e-32,Up
herv_4533,0.0313503556137644,0,10,6.40733043805765e-21,Up
herv_4623,0.0685071434294844,0,10,2.96637610110437e-49,Up
herv_4659,0.0155941159470533,0,10,2.16764055198159e-25,Up
herv_467,0.074427986085079,0,10,1.61072030214076e-24,Up
herv_4739,0.0471675717859202,0,10,2.9327811547264e-24,Up
herv_5174,0.0286742082066762,0,10,7.60014675614046e-24,Up
herv_5334,0.0437365123662071,0,10,3.94106280854353e-47,Up
